,Workload,ReplacementPolicy,IPC,LLC_Load_Access,LLC_Load_Hit,LLC_Load_Miss,LLC_Load_MPKI,LLC_Miss_Latency,L2C_Load_Access,L2C_Load_Hit,L2C_Load_Miss,L2C_Load_MPKI,L2C_Miss_Latency,L1D_Load_Access,L1D_Load_Hit,L1D_Load_Miss,L1D_Load_MPKI,L1D_Miss_Latency
115,pr-5,dummy_hits_topk_epoch,0.107265,6485314.0,5279016.0,1206298.0,24.12596,152.836,9065139.0,2579825.0,6485314.0,129.70628,49.4758,17377029.0,8311890.0,9065139.0,181.30278,46.366
116,sssp-10,dummy_hits_topk_epoch,0.483178,1932086.0,1533165.0,398921.0,7.97842,155.695,2392292.0,460202.0,1932090.0,38.6418,66.1208,9570816.0,7178521.0,2392295.0,47.8459,62.1058
117,sssp-14,dummy_hits_topk_epoch,0.479106,1932908.0,1533787.0,399121.0,7.98242,156.937,2384594.0,451683.0,1932911.0,38.65822,66.4909,9851372.0,7466773.0,2384599.0,47.69198,62.5667
118,sssp-3,dummy_hits_topk_epoch,0.47288,1926499.0,1519756.0,406743.0,8.13486,155.591,2346873.0,420371.0,1926502.0,38.53004,67.3714,11095122.0,8748238.0,2346884.0,46.93768,63.8507
119,sssp-5,dummy_hits_topk_epoch,0.479932,1924064.0,1524609.0,399455.0,7.9891,156.696,2391645.0,467578.0,1924067.0,38.48134,66.5252,9571634.0,7179983.0,2391651.0,47.83302,62.1967
120,bc-0,ship,0.147259,3729839.0,1520710.0,2209129.0,44.18258,217.853,4173826.0,443987.0,3729839.0,74.59678,155.802,10383419.0,6209593.0,4173826.0,83.47652,150.406
121,bc-12,ship,0.151231,3676757.0,1474932.0,2201825.0,44.0365,226.322,4171419.0,494661.0,3676758.0,73.53516,162.742,11666419.0,7495000.0,4171419.0,83.42838,154.634
122,bc-3,ship,0.166567,3624859.0,1647392.0,1977467.0,39.54934,219.81,4334822.0,709963.0,3624859.0,72.49718,145.409,9456412.0,5121590.0,4334822.0,86.69644,132.892
123,bc-5,ship,0.218305,3628480.0,1459048.0,2169432.0,43.38864,380.085,3944971.0,316480.0,3628491.0,72.56982,258.57,10042497.0,6097525.0,3944972.0,78.89944,249.214
124,bfs-10,ship,0.244417,901076.0,45146.0,855930.0,17.1186,148.411,2177692.0,1276616.0,901076.0,18.02152,162.19,9285831.0,7108140.0,2177691.0,43.55382,78.1104
125,bfs-14,ship,0.281271,835271.0,51451.0,783820.0,15.6764,142.07,1157330.0,322059.0,835271.0,16.70542,154.252,7311663.0,6154340.0,1157323.0,23.14646,122.058
126,bfs-3,ship,0.241089,902381.0,49117.0,853264.0,17.06528,147.207,1596072.0,693691.0,902381.0,18.04762,160.278,8421437.0,6825369.0,1596068.0,31.92136,101.471
127,bfs-8,ship,0.318163,822143.0,54301.0,767842.0,15.35684,170.873,1016222.0,194079.0,822143.0,16.44286,181.217,5950961.0,4934753.0,1016208.0,20.32416,159.378
128,cc-13,ship,0.226633,2616251.0,1620117.0,996134.0,19.92268,174.595,3755391.0,1139140.0,2616251.0,52.32502,87.7524,10535691.0,6780300.0,3755391.0,75.10782,72.2919
129,cc-14,ship,0.261787,2553981.0,1584753.0,969228.0,19.38456,181.013,3656853.0,1102872.0,2553981.0,51.07962,89.9835,10246617.0,6589764.0,3656853.0,73.13706,74.0634
130,cc-5,ship,0.291189,2514043.0,1559665.0,954378.0,19.08756,183.291,3601102.0,1087058.0,2514044.0,50.28088,90.8743,10021077.0,6419975.0,3601102.0,72.02204,74.6834
131,cc-6,ship,0.210043,2784976.0,1730988.0,1053988.0,21.07976,176.14,3999409.0,1214433.0,2784976.0,55.69952,87.9292,10768506.0,6769096.0,3999410.0,79.9882,72.4008
132,pr-10,ship,0.0743624,6542408.0,3981772.0,2560636.0,51.21272,160.661,9098101.0,2555693.0,6542408.0,130.84816,83.8765,17611652.0,8513551.0,9098101.0,181.96202,71.2617
133,pr-14,ship,0.0748029,6495864.0,3971874.0,2523990.0,50.4798,161.319,9103211.0,2607347.0,6495864.0,129.91728,83.6757,17594451.0,8491239.0,9103212.0,182.06424,70.6599
134,pr-3,ship,0.0751428,6499474.0,3978965.0,2520509.0,50.41018,160.692,9079469.0,2579995.0,6499474.0,129.98948,83.3099,17593188.0,8513719.0,9079469.0,181.58938,70.5903
135,pr-5,ship,0.0752441,6485306.0,3969565.0,2515741.0,50.31482,160.646,9065148.0,2579842.0,6485306.0,129.70612,83.3112,17587292.0,8522144.0,9065148.0,181.30296,70.5519
136,sssp-10,ship,0.343317,1932087.0,1029997.0,902090.0,18.0418,188.535,2392284.0,460196.0,1932088.0,38.64176,111.988,9451579.0,7059293.0,2392286.0,47.84572,97.3781
137,sssp-14,ship,0.341204,1932921.0,1028296.0,904625.0,18.0925,188.302,2384598.0,451677.0,1932921.0,38.65842,112.145,9725567.0,7340964.0,2384603.0,47.69206,97.7963
138,sssp-3,ship,0.336015,1926507.0,1008116.0,918391.0,18.36782,188.305,2346870.0,420362.0,1926508.0,38.53016,113.908,10984154.0,8637276.0,2346878.0,46.93756,100.17
139,sssp-5,ship,0.342862,1924060.0,1026641.0,897419.0,17.94838,188.243,2391643.0,467582.0,1924061.0,38.48122,111.803,9446298.0,7054649.0,2391649.0,47.83298,96.865
140,bc-0,srrip,0.134658,3729840.0,1265503.0,2464337.0,49.28674,217.421,4173817.0,443977.0,3729840.0,74.5968,167.81,10407486.0,6233669.0,4173817.0,83.47634,161.135
141,bc-12,srrip,0.137595,3676751.0,1248101.0,2428650.0,48.573,224.267,4171414.0,494662.0,3676752.0,73.53504,173.161,11695868.0,7524454.0,4171414.0,83.42828,163.816
142,bc-3,srrip,0.155077,3624846.0,1398845.0,2226001.0,44.52002,222.814,4334811.0,709965.0,3624846.0,72.49692,159.865,9471365.0,5136554.0,4334811.0,86.69622,144.981
143,bc-5,srrip,0.207797,3628465.0,1274713.0,2353752.0,47.07504,371.261,3944966.0,316488.0,3628478.0,72.56956,271.813,10061957.0,6116990.0,3944967.0,78.89934,261.388
144,bfs-10,srrip,0.243938,901075.0,43469.0,857606.0,17.15212,148.589,2177698.0,1276623.0,901075.0,18.0215,162.681,9285879.0,7108182.0,2177697.0,43.55394,78.3129
145,bfs-14,srrip,0.280505,835271.0,50519.0,784752.0,15.69504,142.621,1157330.0,322059.0,835271.0,16.70542,154.961,7313002.0,6155679.0,1157323.0,23.14646,122.568
146,bfs-3,srrip,0.240562,902381.0,47381.0,855000.0,17.1,147.443,1596074.0,693693.0,902381.0,18.04762,160.832,8422119.0,6826049.0,1596070.0,31.9214,101.784
147,bfs-8,srrip,0.318107,822144.0,55145.0,766999.0,15.33998,171.33,1016218.0,194074.0,822144.0,16.44288,181.714,5952499.0,4936295.0,1016204.0,20.32408,159.786
148,cc-13,srrip,0.224077,2616251.0,1589503.0,1026748.0,20.53496,175.974,3755400.0,1139149.0,2616251.0,52.32502,90.1256,10543721.0,6788321.0,3755400.0,75.108,73.9431
149,cc-14,srrip,0.25868,2553987.0,1554145.0,999842.0,19.99684,182.846,3656854.0,1102867.0,2553987.0,51.07974,92.6542,10256261.0,6599407.0,3656854.0,73.13708,75.9266
150,cc-5,srrip,0.287894,2514038.0,1529261.0,984777.0,19.69554,185.14,3601113.0,1087074.0,2514039.0,50.28078,93.5972,10031160.0,6430047.0,3601113.0,72.02226,76.5815
151,cc-6,srrip,0.207566,2784978.0,1698318.0,1086660.0,21.7332,177.589,3999402.0,1214424.0,2784978.0,55.69956,90.3556,10777172.0,6777770.0,3999402.0,79.98804,74.0887
152,pr-10,srrip,0.0739912,6542407.0,3960369.0,2582038.0,51.64076,160.664,9098097.0,2555690.0,6542407.0,130.84814,84.4018,17620737.0,8522640.0,9098097.0,181.96194,71.6392
153,pr-14,srrip,0.0744151,6495863.0,3949969.0,2545894.0,50.91788,161.333,9103212.0,2607349.0,6495863.0,129.91726,84.224,17602649.0,8499436.0,9103213.0,182.06426,71.0508
154,pr-3,srrip,0.0747565,6499474.0,3957091.0,2542383.0,50.84766,160.702,9079469.0,2579995.0,6499474.0,129.98948,83.8535,17601804.0,8522335.0,9079469.0,181.58938,70.9791
155,pr-5,srrip,0.0748426,6485308.0,3946937.0,2538371.0,50.76742,160.642,9065148.0,2579840.0,6485308.0,129.70616,83.8699,17595386.0,8530238.0,9065148.0,181.30296,70.9512
156,sssp-10,srrip,0.335814,1932087.0,968101.0,963986.0,19.27972,190.61,2392276.0,460188.0,1932088.0,38.64176,118.473,9453779.0,7061501.0,2392278.0,47.84556,102.365
157,sssp-14,srrip,0.333565,1932914.0,966398.0,966516.0,19.33032,190.871,2384591.0,451676.0,1932915.0,38.6583,118.811,9727658.0,7343062.0,2384596.0,47.69192,102.939
158,sssp-3,srrip,0.327865,1926512.0,941573.0,984939.0,19.69878,191.107,2346871.0,420358.0,1926513.0,38.53026,121.19,10986269.0,8639390.0,2346879.0,46.93758,105.854
159,sssp-5,srrip,0.335153,1924062.0,965994.0,958068.0,19.16136,190.371,2391639.0,467576.0,1924063.0,38.48126,118.199,9448098.0,7056453.0,2391645.0,47.8329,101.762
